Date,Bank of America Corp,Boeing Co/The,Simon Property Group LP,Citigroup Inc,JPMorgan Chase & Co,International Business Machines Corp,Motorola Solutions Inc,Caterpillar Inc,Nestle SA (EUR),McDonald's Corp
20030515,,45.163,,19.0,29.446,,,28.5,15.0,36.5
20030516,,46.663,,19.0,31.529,,,28.5,15.0,36.5
20030519,30.25000000000042,48.125,,19.5,34.913,43.00000000000014,,27.5,15.0,37.5
20030520,30.25000000000042,51.063,,19.5,34.167,43.00000000000014,,27.5,15.0,37.5
20030521,32.50000000000019,52.525,,19.5,31.975,43.00000000000014,,27.5,15.0,37.5
20030522,32.500000000000185,52.525,,19.0,36.742,43.00000000000014,,27.5,15.0,42.0
20030523,32.500000000000185,52.525,,19.0,35.817,43.00000000000014,,27.5,15.0,42.0
20030526,39.333000000000354,52.038,,19.0,33.475,52.00000000000038,,27.5,15.0,42.0
20030527,36.50000000000048,48.538,,19.0,33.475,52.00000000000038,,27.5,15.0,42.0
20030528,38.99999999999998,43.663,,21.0,36.508,52.00000000000038,,28.0,14.0,42.5
20030529,38.99999999999998,43.663,,21.0,31.0,52.00000000000038,,28.0,14.0,42.5
20030530,38.99999999999998,43.175,,21.0,37.25,52.00000000000038,,28.0,14.0,42.5
20030602,38.99999999999998,40.688,,20.5,37.25,52.00000000000038,,28.0,14.0,42.5
20030603,47.66700000000022,38.92,,20.5,36.254,59.50000000000015,,27.5,13.25,39.5
20030604,47.66700000000022,49.321,,19.5,34.354,59.50000000000015,,26.5,13.25,39.5
20030605,47.66700000000022,48.833,,19.5,34.517,59.50000000000015,,25.0,13.25,39.5
20030606,47.66700000000022,48.5,,20.5,33.013,59.50000000000015,,26.0,13.25,38.5
20030609,43.750000000000064,35.763,,20.5,26.55,50.24999999999985,,26.0,13.25,38.5
20030610,43.750000000000064,49.833,,19.0,32.438,50.24999999999985,,27.0,10.5,37.5
20030611,36.931984440401585,48.25,,19.0,33.104,50.24999999999985,,27.0,10.0,37.5
20030612,5.7999999999999705,47.667,,19.5,32.688,50.24999999999985,,25.0,9.5,37.5
20030613,5.800000000000639,47.667,,19.0,32.771,50.24999999999985,,25.0,8.75,37.5
20030616,35.64316692205924,46.113,,19.5,32.771,49.99999999999982,,25.0,8.75,37.5
20030617,43.00000000000013,45.188,,18.0,31.938,49.99999999999982,,25.0,8.5,36.5
20030618,5.599999999999207,46.5,,17.5,32.0,49.99999999999982,,25.0,8.5,35.0
20030619,41.50000000000001,45.8,,17.5,32.354,49.99999999999982,,25.0,8.5,34.5
20030620,41.50000000000001,42.5,,17.5,32.0,49.99999999999982,,24.5,8.5,34.5
20030623,5.60000000000121,42.467,,17.5,32.083,49.99999999999982,,23.0,8.5,34.5
20030624,5.60000000000121,42.467,,17.5,32.083,49.99999999999982,,23.0,8.5,29.5
20030625,41.00000000000048,42.629,,17.5,32.083,45.749999999999766,,23.0,8.5,29.5
20030626,40.00000000000022,42.629,,18.0,31.763,44.24999999999988,,22.5,8.5,30.0
20030627,34.4244797943801,42.5,,18.0,31.5,43.250000000000135,,22.5,8.5,30.0
20030630,33.75199311608075,42.629,,18.0,31.438,42.50000000000013,,22.5,8.5,29.0
20030701,38.99999999999998,44.283,,18.0,33.5,42.25000000000022,,22.5,8.5,28.0
20030702,33.93310230348401,44.5,,19.0,32.0,35.94547317348011,66.06300000000064,22.5,8.75,28.0
20030703,38.99999999999998,43.914,,21.0,32.187,36.49253589112026,66.06299999999996,23.5,8.75,27.0
20030704,38.99999999999998,44.5,,21.0,32.0,35.89533491273316,65.57499999999902,23.5,8.75,27.0
20030707,38.99999999999998,43.958,,21.0,32.0,36.444143108352115,51.43800000000059,23.5,8.75,27.0
20030708,38.99999999999998,32.938,,20.0,31.438,37.23166025586236,70.93799999999926,23.5,8.75,27.0
20030709,38.99999999999998,41.063,,20.0,31.583,36.39539558139985,76.93799999999915,23.5,9.0,27.5
20030710,38.99999999999998,41.479,,20.0,31.583,36.02711899094544,68.50000000000037,23.5,9.0,27.5
20030711,38.99999999999997,41.642,,20.0,31.763,37.90959052879462,73.99999999999983,23.5,9.0,27.5
20030714,42.000000000000135,41.667,,19.0,30.417,37.36030385276493,70.49999999999945,22.5,9.0,27.5
20030715,37.32549586552812,39.975,,19.0,30.767,36.7846247114291,65.5000000000002,22.5,9.0,29.0
20030716,36.07156700855737,39.975,,21.0,30.442,42.750000000000284,65.5000000000002,22.5,8.75,29.0
20030717,37.3274942541065,42.708,,20.0,30.279,37.1755111210522,65.49999999999882,19.5,8.75,29.0
20030718,36.90951496988456,42.708,,20.0,30.696,35.37991115599614,66.99999999999913,19.5,8.75,28.5
20030721,41.5,43.638,,20.5,30.696,35.76560636539287,65.9390000000007,19.0,8.5,28.5
20030722,36.29759441387632,39.471,,19.5,29.283,36.22511716344008,67.93800000000115,19.0,8.75,30.0
20030723,36.29759441387632,37.733,,11.500000000000249,29.0,13.099999999999772,67.93800000000047,13.999999999999629,8.75,30.5
20030724,36.15256075174012,35.65,,19.5,28.45,35.90937752976533,71.50000000000001,19.0,8.25,30.5
20030725,36.15375827192342,38.058,,19.5,28.45,40.24999999999964,71.50000000000001,18.0,8.0,30.5
20030728,41.5,31.425,,18.5,24.5,35.55723504569958,81.00000000000054,15.999999999999055,8.249999999999726,23.000000000000586
20030729,37.49999999999993,32.4,,10.499999999999122,23.0,34.575577137588816,75.49999999999922,15.999999999999725,7.9999999999999245,22.999999999999236
20030730,37.49999999999992,40.5,,18.0,28.5,35.412818606926045,73.50000000000067,19.0,8.0,29.5
20030731,37.49999999999992,40.792,,18.5,27.779,34.367276197473274,75.49999999999923,19.0,7.500000000000811,29.5
20030801,32.77670909283473,43.708,,22.0,34.833,35.4130439262714,77.00000000000033,16.000000000000398,7.499999999999474,23.000000000000586
20030804,32.77670909283473,42.875,,22.5,34.5,15.099999999998985,73.46300000000052,18.5,8.0,29.5
20030805,37.49999999999993,42.0,,22.5,34.0,39.2500000000002,73.46300000000052,19.0,8.0,28.0
20030806,36.99999999999987,35.9,,9.49999999999958,29.5,34.7685959257872,74.75000000000098,15.999999999999057,7.249999999999899,20.50000000000081
20030807,36.99999999999987,41.717,,22.0,32.5,37.49999999999992,74.75000000000098,19.0,8.0,28.0
20030808,30.71361443519779,42.0,,22.5,30.5,32.65465169786853,63.50000000000047,19.0,8.0,28.0
20030811,33.64258187949092,41.717,,22.0,31.083,34.74659101644864,63.499999999999766,19.0,8.0,28.0
20030812,8.800000000000175,40.0,,21.5,30.5,31.257374285131842,63.125000000000675,19.0,8.0,28.0
20030813,38.99999999999998,40.883,,22.5,31.188,32.46394154222857,65.56300000000078,19.0,8.0,28.0
20030814,34.06432551560201,41.5,,22.5,31.0,37.49999999999992,65.56300000000078,19.0,8.0,28.0
20030815,38.99999999999998,41.5,,22.5,31.0,33.97937464393117,64.62500000000028,19.0,8.0,28.0
20030818,38.49999999999988,41.3,,22.0,31.917,33.540021946312415,61.49999999999955,19.0,8.25,28.0
20030819,33.64456847249053,41.717,,22.0,31.604,37.2500000000003,61.49999999999955,19.0,8.0,28.0
20030820,38.49999999999989,34.888,,20.5,29.917,32.290497640723885,56.75999999999929,20.0,8.0,26.5
20030821,30.715246829125842,33.888,,11.500000000000247,29.613,35.625000000000234,56.75999999999929,13.499999999999531,8.0,26.5
20030822,34.000000000000334,28.791999999999465,,21.0,28.0,30.884923359433134,58.49999999999906,13.499999999999531,8.0,26.5
20030825,34.00000000000034,34.9,,10.999999999999016,24.588,30.047896059359935,52.71300000000102,13.499999999999531,7.499999999999473,26.5
20030826,29.958894814922974,33.4,,11.000000000001027,28.363,32.61921978143237,53.68799999999962,13.49999999999886,8.0,26.5
20030827,29.958762229703616,40.721,,22.0,28.779,32.976236510908095,53.99999999999952,20.5,8.0,27.0
20030828,34.00000000000034,36.967,,19.5,27.946,33.81248668519389,53.68799999999962,19.5,8.0,26.5
20030829,9.300000000000708,37.404,,19.5,27.783,32.68682216635251,51.24999999999944,19.5,8.0,26.5
20030901,29.958105356486215,38.0,,18.5,27.5,32.73681445491424,51.24999999999944,19.5,8.0,26.5
20030902,29.958105356486215,37.404,,18.0,27.529,33.15625299673291,46.31300000000083,18.5,7.75,26.5
20030903,29.958105356486215,35.321,,17.0,26.95,11.124999999999487,56.49999999999978,18.5,7.75,25.5
20030904,29.958105356486215,36.154,,17.0,26.542,12.125000000000064,58.5749999999992,18.5,8.25,25.5
20030905,9.299999999999367,35.667,,16.5,26.542,11.624999999999954,59.99999999999963,18.5,8.25,25.5
20030908,9.299999999999367,35.667,,16.5,26.833,33.554910036549714,59.53799999999997,18.5,8.25,24.5
20030909,9.299999999999367,35.5,,17.5,26.0,33.396115060633484,59.53799999999997,18.5,8.25,24.0
